Subject_ID,Day,total_reads,Cdiff_read_count,%C. difficile
A,0,43490,5,0.000114969
A,1,67717,0,0
A,4,68743,0,0
A,5,105813,0,0
A,6,136958,0,0
A,7,222044,0,0
A,8,89047,0,0
A,9,82461,0,0
A,10,84513,0,0
A,12,78091,0,0
A,13,127283,4,3.14E-05
A,14,79561,0,0
A,15,95926,0,0
A,16,119047,1,8.40E-06
A,17,88854,0,0
A,18,90234,0,0
A,19,11367,0,0
A,20,88233,0,0
A,21,38501,0,0
A,23,167120,0,0
A,24,189155,2,1.06E-05
A,25,91491,0,0
A,26,116938,0,0
A,27,142709,0,0
A,28,137475,0,0
A,29,312507,3,9.60E-06
A,30,201312,1,4.97E-06
A,32,149088,0,0
A,33,169423,0,0
A,34,204435,1,4.89E-06
A,36,94419,0,0
A,37,120940,0,0
A,38,177793,0,0
A,39,183162,0,0
A,40,63924,0,0
A,41,29430,0,0
A,42,68613,0,0
A,43,119845,0,0
A,44,200930,0,0
A,45,211292,0,0
A,47,143489,0,0
A,49,114961,0,0
A,50,132973,0,0
A,51,117379,0,0
A,52,171720,0,0
A,53,146148,0,0
A,54,98786,0,0
A,55,173596,1,5.76E-06
A,56,246012,0,0
A,57,187878,0,0
A,58,205558,0,0
A,59,170805,0,0
A,60,191487,0,0
A,61,110279,0,0
A,64,204852,0,0
A,65,88053,0,0
A,66,82008,0,0
A,67,82156,0,0
A,68,114745,0,0
A,69,71760,0,0
A,70,99948,0,0
A,72,147195,1,6.79E-06
A,73,108222,0,0
A,74,73478,1,1.36E-05
A,76,18708,1,5.35E-05
A,77,76280,0,0
A,78,17226,0,0
A,79,33033,0,0
A,80,17652,0,0
A,81,57156,2,3.50E-05
A,82,80888,0,0
A,84,117419,0,0
A,85,47230,0,0
A,87,43084,0,0
A,88,68023,0,0
A,90,66424,0,0
A,91,80032,0,0
A,96,96541,0,0
A,99,75271,0,0
A,100,111119,0,0
A,101,116720,0,0
A,102,75347,0,0
A,103,86068,1,1.16E-05
A,105,32468,12,0.000369595
A,106,170061,0,0
A,107,77579,0,0
A,108,125562,0,0
A,112,159580,0,0
A,113,133320,0,0
A,114,29494,0,0
A,116,68682,0,0
A,117,85903,0,0
A,118,92095,1,1.09E-05
A,119,112941,0,0
A,120,132587,0,0
A,122,90017,0,0
A,123,140806,1,7.10E-06
A,125,103265,0,0
A,126,116359,1,8.59E-06
A,127,144773,1,6.91E-06
A,128,127764,1,7.83E-06
A,129,139834,1,7.15E-06
A,134,53879,1,1.86E-05
A,135,74008,0,0
A,136,64896,0,0
A,138,81916,0,0
A,139,109435,0,0
A,140,88384,0,0
A,141,97624,0,0
A,142,181204,0,0
A,143,36498,0,0
A,144,57946,0,0
A,147,41734,0,0
A,149,120562,0,0
A,150,83951,0,0
A,151,147663,0,0
A,152,291675,0,0
A,153,169871,1,5.89E-06
A,154,207404,0,0
A,155,173383,0,0
A,156,324732,0,0
A,158,253402,1,3.95E-06
A,159,370883,0,0
A,160,125728,0,0
A,161,131154,0,0
A,162,226176,0,0
A,163,102436,0,0
A,164,177018,0,0
A,166,221808,0,0
A,167,144936,0,0
A,168,129394,0,0
A,169,210521,0,0
A,170,92871,0,0
A,171,138691,0,0
A,172,190319,0,0
A,173,138978,2,1.44E-05
A,174,241344,1,4.14E-06
A,175,138732,0,0
A,177,194178,0,0
A,178,158775,0,0
A,179,103146,0,0
A,180,123225,0,0
A,181,139755,0,0
A,182,200343,0,0
A,183,91641,0,0
A,184,62848,0,0
A,185,137211,1,7.29E-06
A,186,142149,0,0
A,187,42387,0,0
A,189,137784,0,0
A,190,134726,0,0
A,191,101392,0,0
A,192,74106,0,0
A,193,72663,0,0
A,195,88759,0,0
A,196,135040,1,7.41E-06
A,197,66182,0,0
A,198,88216,0,0
A,199,30963,0,0
A,200,18151,0,0
A,201,28372,0,0
A,202,36564,0,0
A,203,47360,0,0
A,204,63483,0,0
A,205,59557,0,0
A,206,115134,0,0
A,207,41961,3,7.15E-05
A,209,33396,0,0
A,210,57287,3,5.24E-05
A,211,42163,0,0
A,212,63864,0,0
A,213,50465,0,0
A,214,50614,0,0
A,215,76268,0,0
A,217,37950,0,0
A,218,43758,0,0
A,219,49749,0,0
A,220,43813,0,0
A,221,65301,13,0.000199078
A,222,66999,36,0.000537321
A,223,64946,0,0
A,224,60342,3,4.97E-05
A,225,94870,5,5.27E-05
A,226,92476,2,2.16E-05
A,227,62864,0,0
A,228,80782,0,0
A,232,103446,1,9.67E-06
A,233,134686,0,0
A,234,89539,4,4.47E-05
A,235,19342,0,0
A,236,42395,0,0
A,237,46320,3,6.48E-05
A,238,32746,0,0
A,239,52579,1,1.90E-05
A,240,53411,3,5.62E-05
A,241,84187,0,0
A,242,62083,0,0
A,243,18732,0,0
A,244,12886,0,0
A,246,24636,0,0
A,247,10179,0,0
A,248,20796,0,0
A,250,30419,2,6.57E-05
A,251,52468,3,5.72E-05
A,252,80313,4,4.98E-05
A,253,106507,0,0
A,256,58922,0,0
A,257,67728,0,0
A,261,11215,1,8.92E-05
A,262,28746,1,3.48E-05
A,264,29074,0,0
A,266,45272,1,2.21E-05
A,267,44369,9,0.000202844
A,268,45329,10,0.000220609
A,269,26895,0,0
A,272,24182,0,0
A,274,30337,0,0
A,275,27394,0,0
A,276,33135,0,0
A,277,112949,1,8.85E-06
A,279,57220,1,1.75E-05
