organism,seedid,oxygenstat,metabolism,gram,mtype,genes,reactions,metabolites,draftcreator,draftcreated,ncbiid,platform,kingdom,phylum,class,order,family,genus,species,file,strain,kbaseid,id,summary_rank,tax,samples,relative,reads
Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,469.0,1097.0,874.0,chenry,04/15/16,1437595.0,Kbase,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium_pseudolongum.json,Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099,kb|g.239965,Bifidobacterium_pseudolongum,species,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,CAVI230300_t0,0.28036152257683483,2803.6152257683484
,,Facultative anaerobe,"Saccharolytic, fermentative",Positive,Commensal,,,,,,,,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus_faecalis.json,,,Enterococcus_faecalis,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,CAVI230300_t0,0.35866301425128255,3586.6301425128254
Enterococcus faecium TX1330,Enterococcus faecium TX1330 (525279.3),Facultative anaerobe,"Saccharolytic, fermentative",Positive,Probiotic,705.0,1528.0,1049.0,Ines Thiele,09/06/12,525279.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,Enterococcus_faecium.json,Enterococcus faecium TX1330,,Enterococcus_faecium,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium,CAVI230300_t0,0.021315129484329412,213.15129484329412
Lactobacillus gasseri ATCC 33323,Lactobacillus gasseri ATCC 33323 (324831.13),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Probiotic,483.0,1163.0,870.0,Eugen Bauer,08/03/14,324831.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus gasseri,Lactobacillus_gasseri.json,Lactobacillus gasseri ATCC 33323,,Lactobacillus_gasseri,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri,CAVI230300_t0,0.06801155824143373,680.1155824143374
Weissella cibaria KACC 11862,Weissella cibaria KACC 11862 (911104.3),Facultative anaerobe,"Fermentative, respiratory",Negative,,639.0,1094.0,867.0,Laura Kutt,04/18/16,911104.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella cibaria,Weissella_cibaria.json,Weissella cibaria KACC 11862,kb|g.28337,Weissella_cibaria,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae|g__Weissella|s__Weissella_cibaria,CAVI230300_t0,0.009987574578523464,99.87574578523464
Streptococcus salivarius JIM8777,Streptococcus salivarius JIM8777 (347253.5),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Commensal,605.0,1190.0,881.0,Laura Kutt,04/18/16,347253.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius,Streptococcus_salivarius.json,Streptococcus salivarius JIM8777,kb|g.26457,Streptococcus_salivarius,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,CAVI230300_t0,0.0020141348267407547,20.141348267407547
"Blautia hansenii VPI C7-24, DSM 20583",Blautia hansenii DSM 20583 (537007.6),Obligate anaerobe,"Saccharolytic, fermentative, hydrogen used as energy source",Positive,Commensal,633.0,2055.0,1191.0,Ines Thiele,04/20/12,537007.0,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia hansenii,Blautia_hansenii.json,"Blautia hansenii VPI C7-24, DSM 20583",,Blautia_hansenii,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii,CAVI230300_t0,0.017710031214322405,177.10031214322404
,,Obligate anaerobe,"Proteolytic, few carbohydrates fermented",Positive,Opportunistic pathogen,,,,,,,ModelSEED,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,Clostridioides_difficile.json,,,Clostridioides_difficile,species,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides_difficile,CAVI230300_t0,0.09999999999999999,999.9999999999999
Staphylococcus epidermidis ATCC 12228,Staphylococcus epidermidis ATCC 12228 (176280.1),Facultative anaerobe,"Saccharolytic, respiratory or fermentative",Positive,Opportunistic pathogen,850.0,1393.0,1041.0,Laura Kutt,04/18/16,176280.0,ModelSEED,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus epidermidis,Staphylococcus_epidermidis.json,Staphylococcus epidermidis ATCC 12228,kb|g.165,Staphylococcus_epidermidis,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_epidermidis,CAVI230300_t0,0.004645433579623557,46.45433579623557
Lactobacillus amylovorus GRL 1112,Lactobacillus amylovorus GRL 1112 (695560.3),Facultative anaerobe,"Saccharolytic, fermentative or respiratory",Positive,,556.0,1048.0,817.0,Laura Kutt,04/18/16,695560.0,Kbase,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,Lactobacillus_amylovorus.json,Lactobacillus amylovorus GRL 1112,kb|g.3001,Lactobacillus_amylovorus,species,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_amylovorus,CAVI230300_t0,0.13538564557083113,1353.8564557083114
