Condition,Time,Row,Column,Sample,AC,BA,BC,BF,BH,BL,BO,BP,BT,BU,BV,BY,CA,CC,CD,CG,CH,CS,DF,DL,DP,EH,EL,ER,Escherichia_coli,FP,HB,OD600,PC,PJ,RI,Total,Unclassified
CD BH 10,0,E,8,P17E08,2,1,0,0,15094,0,0,0,1,0,0,0,0,0,2509,0,0,2,0,0,0,0,0,1,0,1,0,0.0022,1,0,0,17619,7
CD BH 10,0,D,8,P17D08,1,0,0,0,13090,0,0,0,1,0,0,0,0,0,2326,0,0,1,0,0,1,0,0,0,0,2,2,0.0022,1,1,0,15437,11
CD BH 10,0,C,8,P17C08,0,0,0,0,9837,0,0,0,3,2,0,0,0,0,1482,0,0,0,0,0,0,0,1,0,0,0,0,0.0022,0,0,0,11338,13
CD BH 50,0,H,8,P17H08,0,1,0,0,7858,0,1,0,3,4,0,0,0,0,9605,0,0,0,0,0,0,0,2,1,0,3,0,0.0022,1,0,0,17497,18
CD BH 50,0,G,8,P17G08,1,0,0,0,1967,0,0,0,2,1,1,0,0,0,3062,0,0,0,0,0,0,0,2,1,0,3,0,0.0022,0,0,0,5048,8
CD BH 50,0,F,8,P17F08,0,0,0,0,3540,0,0,0,2,3,0,0,0,0,5040,0,1,0,0,0,0,0,1,0,0,1,0,0.0022,0,0,0,8615,27
CD BO 10,0,E,3,P17E03,0,0,2,0,0,0,13020,0,26,0,0,0,0,0,1477,0,2,0,0,0,0,0,0,2,0,1,0,0.0022,0,0,0,14530,0
CD BO 10,0,D,3,P17D03,0,0,0,0,0,0,19803,0,6,1,0,0,0,0,1971,0,2,1,0,0,0,0,0,1,0,0,0,0.0022,0,0,0,21785,0
CD BO 10,0,C,3,P17C03,0,0,1,0,0,0,20578,0,15,3,0,0,0,0,2011,0,0,4,0,0,1,0,0,0,0,2,0,0.0022,0,0,0,22615,0
CD BO 50,0,H,3,P17H03,2,2,0,0,0,0,11652,0,15,0,0,0,0,0,8243,0,1,1,0,0,0,0,0,2,7,1,1,0.0022,0,16,0,19943,0
CD BO 50,0,G,3,P17G03,0,1,0,0,0,0,11927,0,3,1,0,0,0,0,7920,0,2,1,0,0,0,0,0,0,0,2,0,0.0022,0,0,0,19857,0
CD BO 50,0,F,3,P17F03,0,0,0,0,0,0,24,0,0,4,0,0,0,0,1196,0,5,0,0,0,0,0,0,1,0,0,0,0.0022,1,0,0,1231,0
CD BT 10,0,E,2,P17E02,0,0,0,0,0,0,0,0,15471,0,0,0,0,0,2323,0,1,1,0,0,0,0,0,0,1,1,0,0.0022,0,0,0,17809,11
CD BT 10,0,D,2,P17D02,1,0,0,0,0,0,0,0,11429,0,0,0,0,0,1580,0,1,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,13015,4
CD BT 10,0,C,2,P17C02,0,0,0,0,0,0,0,0,18309,0,0,0,0,0,2188,0,1,1,0,0,2,0,1,0,1,0,0,0.0022,0,0,0,20510,7
CD BT 50,0,H,2,P17H02,0,0,0,0,0,0,0,0,9542,2,0,0,0,0,9252,0,3,0,0,0,4,0,0,1,0,0,0,0.0022,1,0,0,18830,25
CD BT 50,0,G,2,P17G02,0,0,0,0,0,0,0,0,4235,2,0,0,0,0,5519,0,0,1,0,0,2,0,0,0,0,0,0,0.0022,0,0,0,9770,11
CD BT 50,0,F,2,P17F02,0,0,0,0,0,0,0,0,216,1,0,0,0,0,3034,0,1,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,3252,0
CD BU 10,0,E,1,P17E01,0,1,0,0,0,0,0,0,0,11607,0,0,0,0,1402,0,0,0,0,0,0,0,0,1,1,0,1,0.0022,0,0,0,13014,1
CD BU 10,0,D,1,P17D01,0,0,0,0,0,0,0,0,1,13959,0,0,0,1,2380,0,0,3,0,0,0,0,0,0,0,1,0,0.0022,0,0,0,16355,10
CD BU 10,0,C,1,P17C01,1,0,0,0,0,0,0,0,0,14875,0,0,0,0,2854,0,1,0,0,0,1,0,1,0,0,0,1,0.0022,0,0,0,17744,10
CD BU 50,0,H,1,P17H01,0,0,0,0,0,0,1,0,0,5496,0,0,0,0,6472,0,1,1,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,12021,50
CD BU 50,0,G,1,P17G01,0,0,0,0,0,0,0,0,0,5565,1,0,0,0,8203,0,6,1,0,0,2,0,2,1,0,0,0,0.0022,0,0,0,13839,58
CD BU 50,0,F,1,P17F01,0,0,0,0,2,0,0,0,0,6909,0,0,0,0,7932,0,0,1,0,0,0,0,0,0,0,1,0,0.0022,0,0,0,14880,35
CD BV 10,0,B,9,P17B09,1,0,0,0,0,0,0,0,2,1,4880,0,0,0,2066,0,1,0,0,0,0,0,0,0,0,4,0,0.0022,0,0,0,6959,4
CD BV 10,0,B,8,P17B08,0,0,0,0,0,0,0,0,1,1,12720,0,0,0,1761,0,0,0,0,0,0,0,2,0,0,1,0,0.0022,0,0,0,14487,1
CD BV 10,0,B,7,P17B07,0,0,0,0,0,0,0,0,1,0,13837,0,0,0,2702,0,0,0,0,0,0,0,1,1,0,1,0,0.0022,0,0,0,16550,7
CD BV 50,0,B,12,P17B12,0,0,0,0,1,0,0,0,0,2,11,0,0,0,549,0,0,2,0,0,0,0,0,0,0,1,0,0.0022,0,0,0,566,0
CD BV 50,0,B,11,P17B11,0,0,0,0,0,0,0,0,3,2,3261,0,0,0,6652,0,0,0,0,0,0,0,0,1,0,1,0,0.0022,0,0,0,9934,14
CD BV 50,0,B,10,P17B10,1,0,0,0,1,0,1,0,0,1,11275,0,0,0,10021,0,0,0,0,0,0,0,2,2,0,1,1,0.0022,0,0,0,21316,10
CD CH 10,0,E,4,P17E04,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2457,0,8962,1,0,0,1,0,0,0,0,2,1,0.0022,0,0,0,11429,2
CD CH 10,0,D,4,P17D04,0,1,0,0,0,0,2,0,0,2,0,0,0,0,2072,0,8452,0,0,0,0,0,1,0,0,1,3,0.0022,1,0,0,10540,5
CD CH 10,0,C,4,P17C04,0,0,0,0,1,0,0,0,0,5,2,0,0,0,2264,0,7726,0,0,0,0,0,1,0,0,0,0,0.0022,0,0,0,10002,3
CD CH 50,0,H,4,P17H04,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4842,0,2254,0,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,7122,24
CD CH 50,0,G,4,P17G04,0,0,0,0,0,0,1,0,0,5,0,0,0,0,10418,0,4521,0,0,0,2,0,0,0,0,1,0,0.0022,0,0,0,14962,14
CD CH 50,0,F,4,P17F04,0,0,0,0,0,0,1,0,0,2,1,0,0,0,6628,0,2845,0,0,0,1,0,0,0,0,0,0,0.0022,0,0,0,9481,3
CD CS 10,0,E,12,P17E12,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1929,0,0,12030,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,13991,28
CD CS 10,0,D,12,P17D12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1053,0,0,7004,0,0,0,0,0,1,0,0,0,0.0022,0,0,0,8078,17
CD CS 10,0,C,12,P17C12,0,1,0,0,2,0,0,0,0,4,1,0,0,0,2459,0,0,19140,0,0,0,0,0,0,1,0,0,0.0022,0,0,0,21615,7
CD CS 50,0,H,12,P17H12,0,0,0,0,1,0,0,0,0,1,0,0,0,0,14186,0,0,9383,0,0,0,0,0,0,0,0,0,0.0022,0,0,0,23598,27
CD CS 50,0,G,12,P17G12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,824,0,0,515,0,0,0,0,2,0,0,0,0,0.0022,0,0,0,1344,1
CD CS 50,0,F,12,P17F12,0,0,0,0,0,0,0,0,0,10,0,0,0,0,7165,0,0,6885,0,0,1,0,0,0,0,0,0,0.0022,0,0,0,14081,20
CD DP 10,0,E,11,P17E11,1,0,0,0,2,0,0,0,2,4,0,0,0,0,9557,0,1,0,0,0,6136,0,0,1,0,2,0,0.0022,0,0,0,15716,10
CD DP 10,0,D,11,P17D11,1,1,0,0,3,0,1,0,1,2,0,0,0,0,6305,0,0,0,0,0,5957,0,1,1,0,1,2,0.0022,0,0,0,12280,4
CD DP 10,0,C,11,P17C11,0,1,0,0,0,0,0,0,1,2,16,0,0,0,5018,0,1,0,0,1,6346,1,0,1,0,0,0,0.0022,0,0,0,11392,4
CD DP 50,0,H,11,P17H11,0,1,0,0,1,0,0,0,0,2,0,0,0,2,34017,0,0,1,0,0,13326,0,0,0,0,1,1,0.0022,0,0,0,47385,33
CD DP 50,0,G,11,P17G11,0,0,0,0,0,0,0,0,1,2,0,0,0,0,6830,0,0,0,0,0,936,0,0,1,0,0,0,0.0022,0,0,0,7779,9
CD DP 50,0,F,11,P17F11,1,1,0,0,0,0,0,0,0,4,0,0,0,0,13269,0,0,0,0,0,2254,0,0,0,0,0,2,0.0022,1,0,0,15534,2
CD ER 10,0,E,6,P17E06,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1389,0,0,0,0,0,1,0,0,15915,0,0,1,0.0022,0,0,0,17317,9
CD ER 10,0,D,6,P17D06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,12606,0,0,1,0.0022,0,0,0,13613,1
