,Condition,plate,Time,Unnamed: 3,Unnamed: 4,Sample,BU,PC,BH,CD,FP,DP,Unclassified,Total,BO,Bacillus_cereus,Escherichia_coli,ER,BT,BV,CS,CH,BY,CA,DL,EL,CC,BC,PJ,CG,RI,BA,BL,BP,BF,AC,DF,HB,OD600
0,SEHE30_25,0,0,A,4,P02A04,2720.0,0.0,2038.0,1519.0,972.0,6.0,7.0,7262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
1,SEHE30_33,0,0,A,5,P02A05,0.0,4442.0,0.0,2620.0,1317.0,170.0,3.0,8553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
2,SEHE30_49,0,0,A,7,P02A07,0.0,1.0,8.0,1242.0,0.0,65.0,24.0,6889.0,3491.0,0.0,0.0,1682.0,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
3,SEHE30_41,0,0,A,6,P02A06,0.0,1.0,2.0,1513.0,684.0,118.0,2.0,4952.0,1.0,0.0,1.0,2169.0,0.0,0.0,460.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
4,SEHE30_74,0,0,B,10,P02B10,826.0,1410.0,794.0,648.0,395.0,96.0,71.0,9157.0,1238.0,0.0,0.0,0.0,1763.0,1427.0,0.0,488.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
5,SEHE30_10,0,0,B,2,P02B02,2850.0,0.0,2363.0,1818.0,1.0,3.0,7.0,7042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
6,SEHE30_19,0,0,C,3,P02C03,4160.0,0.0,3.0,1962.0,1399.0,249.0,2.0,7777.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
7,SEHE30_18,0,0,B,3,P02B03,2408.0,3414.0,2.0,1485.0,935.0,12.0,11.0,8269.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
8,SEHE30_50,0,0,B,7,P02B07,2.0,2082.0,3.0,1225.0,503.0,4.0,358.0,9425.0,1820.0,0.0,0.0,1.0,2533.0,0.0,0.0,894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
9,SEHE30_59,0,0,C,8,P02C08,1.0,2549.0,1278.0,1378.0,0.0,126.0,10.0,8711.0,0.0,1.0,0.0,2494.0,1.0,0.0,872.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
10,SEHE30_4,0,0,D,1,P02D01,0.0,3958.0,11.0,2289.0,1206.0,16.0,3.0,7486.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066
