,Condition,Time,Row,Column,Sample,CA,BT,BU,PC,CH,FP,Unclassified,Total,BO,Bacillus_cereus,ER,AC,DP,BV,CC,RI,BH,CS,EL,HB,BF,BL,CG,CD,BY,Escherichia_coli,BC,PJ,BA,EH,DL,DF,OD600
0,SEHE56_1,48,A,1,P05A01,0.0,5.0,4.0,4107.0,1.0,1.0,185.0,21524.0,15855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9704000000000002
1,SEHE56_65,48,A,9,P05A09,0.0,15489.0,5498.0,2641.0,1.0,0.0,314.0,24063.0,5.0,1.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5508
2,SEHE56_26,48,B,4,P05B04,0.0,23236.0,7.0,6071.0,0.0,0.0,99.0,31064.0,2.0,0.0,0.0,0.0,0.0,1643.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6808000000000001
3,SEHE56_9,48,A,2,P05A02,0.0,5.0,5.0,25152.0,0.0,0.0,1.0,26970.0,5.0,1.0,52.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1745.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8800000000000001
4,SEHE56_10,48,B,2,P05B02,6756.0,20676.0,18.0,4.0,4333.0,0.0,23.0,31824.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8320000000000001
5,SEHE56_17,48,A,3,P05A03,2.0,17751.0,7052.0,21.0,10.0,0.0,286.0,25437.0,4.0,2.0,299.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5648
6,SEHE56_73,48,A,10,P05A10,3.0,2.0,11021.0,3.0,0.0,3318.0,102.0,24811.0,3.0,2.0,281.0,0.0,0.0,2142.0,0.0,0.0,0.0,7934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5496000000000001
7,SEHE56_50,48,B,7,P05B07,3.0,13.0,7.0,25949.0,2.0,0.0,82.0,36571.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5180.0,4798.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.142
8,SEHE56_25,48,A,4,P05A04,2.0,2.0,10.0,3.0,1.0,0.0,2550.0,23456.0,14790.0,2.0,659.0,0.0,0.0,0.0,0.0,0.0,1.0,5435.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6544000000000001
9,SEHE56_33,48,A,5,P05A05,5896.0,8.0,7400.0,1.0,0.0,2.0,568.0,25474.0,11592.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136000000000001
10,SEHE56_81,48,A,11,P05A11,0.0,19497.0,7.0,2881.0,1046.0,2.0,63.0,25790.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956
11,SEHE56_58,48,B,8,P05B08,6375.0,7.0,22406.0,2.0,1.0,3810.0,24.0,33025.0,5.0,2.0,0.0,0.0,390.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.934
12,SEHE56_41,48,A,6,P05A06,0.0,15491.0,2.0,1.0,1.0,367.0,6.0,16086.0,4.0,1.0,157.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248
13,SEHE56_89,48,A,12,P05A12,0.0,3.0,4810.0,2.0,4212.0,0.0,367.0,23230.0,10056.0,0.0,1893.0,0.0,0.0,1781.0,0.0,1.0,102.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956
