,Condition,CH abund,Time,Row,Col,Sample,BV,Unclassified,Total,DP,EL,AC,BH,BT,CA,Bacillus_cereus,CD,CH,BF,BO,PC,Escherichia_coli,FP,BP,BU,BA,CG,BY,ER,RI,BL,CC,PJ,DL,CS,OD600
0,CD-CH,0,48,A,10,P18A10,0,0,4174,0,0,0,2,0,1,8,4157,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166
14,CD-CH,0,48,A,9,P18A09,0,2,4466,0,0,0,0,0,0,7,4451,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1695
21,CD-CH,0.25,48,B,9,P18B09,0,15,4125,0,2,0,0,0,0,6,2196,1906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1835
34,CD-CH,0.429,48,C,9,P18C09,0,7,4058,0,0,0,0,0,1,0,1289,2760,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222
32,CD-CH,0.563,48,D,9,P18D09,0,7,4022,0,0,0,0,0,0,5,1022,2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229
43,CD-CH,0.563,48,D,10,P18D10,0,17,5600,1,3,0,0,0,1,61,1776,3741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248
49,CD-CH,0.667,48,E,9,P18E09,0,9,3827,0,0,0,0,0,1,0,828,2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2235
75,CD-CH,0.875,48,G,11,P18G11,0,13,4967,1,0,0,2,0,3,2,922,4018,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.2775
93,CD-CH,0.964,48,H,9,P18H09,0,14,4017,0,0,0,1,0,0,0,874,3128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2495
6,CommE,0,7,A,1,P18A01,0,0,3474,509,2962,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015666667
11,CommE,0,48,A,3,P18A03,0,2,4448,671,1323,0,1,0,2,0,2446,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275
13,CommE,0,48,A,4,P18A04,0,6,3543,464,1078,0,0,0,0,2,1991,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2535
16,CommE,0,48,A,5,P18A05,0,2,3651,719,994,0,0,0,0,1,1934,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288
1,CommE,0.1,48,B,3,P18B03,0,2,4885,1119,2074,0,0,0,3,1,674,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
5,CommE,0.1,48,B,5,P18B05,0,5,4159,1096,1812,0,0,0,0,6,481,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2725
7,CommE,0.1,48,B,4,P18B04,0,2,3298,709,1462,0,1,0,0,0,529,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259
10,CommE,0.1,7,B,1,P18B01,0,1,4298,492,3349,0,0,0,0,0,1,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019733333
30,CommE,0.2,7,C,1,P18C01,1,1,4530,376,3255,0,0,0,2,1,0,894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020633333
36,CommE,0.2,48,C,3,P18C03,0,4,4557,879,1845,0,0,0,1,0,563,1264,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.282
38,CommE,0.2,48,C,4,P18C04,0,4,3665,740,1522,0,0,0,1,0,493,904,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2985
40,CommE,0.2,48,C,5,P18C05,0,0,4142,923,1799,0,1,0,2,0,419,997,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.2875
29,CommE,0.3,48,D,3,P18D03,0,1,4977,764,1944,0,0,0,1,0,552,1714,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.302
31,CommE,0.3,7,D,1,P18D01,0,2,4164,305,2921,0,0,1,0,0,0,935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239
35,CommE,0.3,48,D,4,P18D04,0,3,3821,660,1443,0,0,0,0,0,491,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32
42,CommE,0.3,48,D,5,P18D05,0,4,3905,811,1533,0,0,0,2,1,413,1141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3285
50,CommE,0.4,7,E,1,P18E01,0,2,4460,328,2730,0,0,0,0,0,0,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029233333
56,CommE,0.4,48,E,3,P18E03,0,9,4607,599,1608,0,0,0,0,0,569,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2875
59,CommE,0.4,48,E,4,P18E04,0,9,3644,587,1241,0,105,0,0,1,493,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2925
62,CommE,0.4,48,E,5,P18E05,0,3,3831,552,1330,0,0,0,1,0,435,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2865
55,CommE,0.5,48,F,5,P18F05,0,1,3280,445,1079,0,0,0,0,0,361,1393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3415
57,CommE,0.5,48,F,3,P18F03,0,5,4247,345,1143,0,1,0,0,2,455,2295,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.328
67,CommE,0.5,7,F,1,P18F01,0,1,3747,206,1798,0,0,0,2,0,1,1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049266667
70,CommE,0.5,48,F,4,P18F04,0,2,3742,406,1091,0,0,0,0,0,452,1791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3515
73,CommE,0.7,7,G,1,P18G01,0,1,4181,187,1727,0,0,0,0,0,0,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101866667
79,CommE,0.7,48,G,4,P18G04,0,5,3341,335,964,0,0,0,1,0,317,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3485
82,CommE,0.7,48,G,5,P18G05,0,4,3713,399,1237,0,0,0,3,0,360,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359
77,CommE,0.9,48,H,4,P18H04,0,10,4161,417,1063,0,0,0,1,0,471,2199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3715
83,CommE,0.9,48,H,5,P18H05,0,5,4127,456,1042,0,1,0,0,0,347,2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3675
85,CommE,0.9,7,H,1,P18H01,0,1,4846,75,922,0,0,0,0,0,1,3847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279166667
92,CommE,0.9,48,H,3,P18H03,0,8,5155,501,1445,0,0,0,1,1,482,2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3645
3,CommO,0,48,A,7,P18A07,0,3,3910,1,1,0,718,0,1878,0,1307,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4535
8,CommO,0,7,A,2,P18A02,0,1,3699,0,0,0,196,0,3497,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008
