Community,splist,Alternate name
SEHE30_1,"['1', '3', '6']",NA
SEHE30_10,"['1', '5', '12']",NA
SEHE30_11,"['1', '6', '7']",NA
SEHE30_12,"['1', '3', '7']",NA
SEHE30_13,"['1', '3', '4']",NA
SEHE30_14,"['1', '2', '7']",NA
SEHE30_15,"['1', '4', '6']",NA
SEHE30_16,"['1', '4', '6', '7']",NA
SEHE30_17,"['1', '5', '6', '14']",NA
SEHE30_18,"['1', '4', '7', '12']",NA
SEHE30_19,"['1', '3', '4', '12']",NA
SEHE30_2,"['1', '6', '8']",NA
SEHE30_20,"['1', '3', '4', '12']",NA
SEHE30_21,"['1', '2', '5', '12']",NA
SEHE30_22,"['1', '4', '7', '13']",NA
SEHE30_23,"['1', '3', '4', '10']",NA
SEHE30_24,"['1', '2', '4', '7']",NA
SEHE30_25,"['1', '4', '5', '12']",NA
SEHE30_26,"['1', '6', '10', '13']",NA
SEHE30_27,"['1', '3', '4', '8']",NA
SEHE30_28,"['1', '3', '7', '8']",NA
SEHE30_29,"['1', '3', '6', '7']",NA
SEHE30_3,"['1', '7', '8']",NA
SEHE30_30,"['1', '6', '9', '12']",NA
SEHE30_31,"['1', '3', '6', '8']",NA
SEHE30_32,"['1', '3', '4', '6']",NA
SEHE30_33,"['1', '3', '4', '7']",NA
SEHE30_34,"['1', '3', '4', '7', '8']",NA
SEHE30_35,"['1', '2', '9', '10', '11']",NA
SEHE30_36,"['1', '3', '6', '10', '13']",NA
SEHE30_37,"['1', '6', '7', '10', '13']",NA
SEHE30_38,"['1', '3', '4', '9', '12']",NA
SEHE30_39,"['1', '2', '4', '7', '8']",NA
SEHE30_4,"['1', '4', '7']",NA
SEHE30_40,"['1', '3', '4', '6', '8']",NA
SEHE30_41,"['1', '2', '3', '4', '14']",NA
SEHE30_42,"['1', '2', '3', '4', '8']",NA
SEHE30_43,"['1', '3', '6', '7', '8']",NA
SEHE30_44,"['1', '3', '4', '6', '7']",NA
SEHE30_45,"['1', '4', '5', '7', '9']",NA
SEHE30_46,"['1', '2', '5', '6', '7']",NA
SEHE30_47,"['1', '2', '6', '10', '14']",NA
SEHE30_48,"['1', '3', '8', '12', '14']",NA
SEHE30_49,"['1', '2', '3', '10', '14']",NA
SEHE30_5,"['1', '10', '13']",NA
SEHE30_50,"['1', '4', '7', '9', '10', '11']",NA
SEHE30_51,"['1', '4', '6', '9', '10', '12']",NA
SEHE30_52,"['1', '3', '5', '6', '7', '12']",NA
SEHE30_53,"['1', '3', '4', '8', '9', '11']",NA
SEHE30_54,"['1', '2', '7', '9', '10', '11']",NA
SEHE30_55,"['1', '3', '4', '5', '9', '12']",NA
SEHE30_56,"['1', '3', '5', '7', '9', '11']",NA
SEHE30_57,"['1', '2', '3', '4', '6', '9']",NA
SEHE30_58,"['1', '2', '5', '6', '7', '12']",NA
SEHE30_59,"['1', '2', '3', '5', '7', '14']",NA
SEHE30_6,"['1', '3', '12']",NA
SEHE30_60,"['1', '2', '3', '4', '6', '9', '12']",NA
SEHE30_61,"['1', '2', '3', '5', '7', '10', '13']",NA
SEHE30_62,"['1', '2', '3', '5', '9', '10', '13']",NA
SEHE30_63,"['1', '2', '4', '8', '10', '11', '14']",NA
SEHE30_64,"['1', '3', '4', '6', '10', '12', '13']",NA
SEHE30_65,"['1', '3', '6', '7', '8', '9', '11', '12']",NA
SEHE30_66,"['1', '3', '4', '6', '7', '8', '10', '14']",NA
SEHE30_67,"['1', '2', '4', '5', '6', '10', '11', '12', '13']",NA
SEHE30_68,"['1', '4', '5', '6', '7', '9', '10', '12', '13']",NA
SEHE30_69,"['1', '3', '4', '5', '6', '9', '11', '13', '14']",NA
SEHE30_7,"['1', '3', '12']",NA
SEHE30_70,"['1', '2', '6', '7', '8', '10', '11', '13', '14']",NA
SEHE30_71,"['1', '2', '5', '7', '9', '11', '12', '13', '14']",NA
SEHE30_72,"['1', '2', '3', '4', '5', '7', '9', '11', '13', '14']",NA
SEHE30_73,"['1', '2', '3', '4', '5', '6', '7', '9', '10', '12']",NA
SEHE30_74,"['1', '3', '4', '5', '7', '9', '10', '11', '12', '13']",NA
SEHE30_75,"['1', '2', '3', '4', '5', '6', '7', '9', '10', '11', '12']",NA
SEHE30_76,"['1', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12']",NA
SEHE30_77,"['1', '3', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_78,"['1', '2', '3', '5', '6', '7', '9', '10', '12', '13', '14']",NA
SEHE30_79,"['1', '2', '3', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_8,"['1', '3', '8']",NA
SEHE30_80,"['1', '2', '3', '4', '6', '7', '8', '9', '11', '12', '13', '14']",NA
SEHE30_81,"['1', '2', '3', '4', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_82,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '14']",NA
SEHE30_83,"['1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_84,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '14']",NA
SEHE30_85,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13']",NA
SEHE30_86,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '12', '13', '14']",NA
SEHE30_87,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '11', '12', '13', '14']",NA
SEHE30_88,"['1', '2', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_89,"['1', '2', '3', '4', '5', '6', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_9,"['1', '6', '12']",NA
SEHE30_90,"['1', '2', '3', '4', '5', '6', '7', '8', '10', '11', '12', '13', '14']",NA
SEHE30_91,"['1', '2', '3', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_92,"['1', '2', '3', '4', '5', '6', '7', '9', '10', '11', '12', '13', '14']",NA
SEHE30_93,"['1', '2', '3', '4', '5', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE30_94,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14']",NA
SEHE35_1,"[1, 3, 5, 9]",CommA
SEHE35_10,"[1, 2, 4, 14]",CommJ
SEHE35_11,"[1, 3, 5, 12, 13]",CommK
SEHE35_12,"[1, 3, 4, 9]",CommL
SEHE35_13,"[1, 3, 9, 14]",CommM
SEHE35_14,"[1, 5, 7, 9]",CommN
SEHE35_15,"[1, 5, 6, 9]",CommO
SEHE35_16,"[1, 3, 5, 8, 12]",CommP
SEHE35_17,"[1, 2, 5, 6, 7]",CommQ
SEHE35_18,"[1, 5, 6, 7, 9] ",CommR
SEHE35_2,"[1, 3, 4, 5]",CommB
SEHE35_3,"[1, 3, 5, 6, 9]",CommC
SEHE35_4,"[1, 6, 7, 8]",CommD
SEHE35_5,"[1, 3, 8, 9]",CommE
SEHE35_6,"[1, 3, 5, 12]",CommF
SEHE35_7,"[1, 2, 5, 6]",CommG
SEHE35_8,"[1, 3, 10, 13]",CommH
SEHE35_9,"[1, 3, 11, 12]",CommI
SEHE56_1,"[7, 8, 10]",NA
SEHE56_10,"[6, 9, 11]",NA
SEHE56_100,"[3, 6, 7, 9, 10, 13, 14]",NA
SEHE56_101,"[3, 6, 9, 10, 11, 12, 13, 14]",NA
SEHE56_102,"[4, 5, 7, 8, 9, 10, 14]",NA
SEHE56_103,"[3, 4, 5, 6, 7, 8, 9, 10]",NA
